Timestamp,Frame Number,Exercise Name,Heart Rate,RR Intervals,leftElbow,rightElbow,leftShoulder,rightShoulder,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
2026-03-06T12:47:12.951925,1,Treadmill Jog,101,0.598|0.578,144.3781632066944,144.42942992779624,28.723724311463442,25.544579524490523,170.0200848998489,160.32012364236488,172.00472997220908,177.63321835647335,128.45637001074036,174.3511726735342
2026-03-06T12:47:13.045399,2,Treadmill Jog,101,0.598|0.578,144.3781632066944,144.42942992779624,28.723724311463442,25.544579524490523,170.0200848998489,160.32012364236488,172.00472997220908,177.63321835647335,128.45637001074036,174.3511726735342
2026-03-06T12:47:13.138260,3,Treadmill Jog,101,0.598|0.578,98.99177984504382,108.4369888624472,6.792043989634863,1.1249437305065242,172.01287021358004,165.65895654472007,159.000891914837,149.6659211586947,88.45844010389006,75.09522136782216
2026-03-06T12:47:13.243970,4,Treadmill Jog,101,0.598|0.578,99.72100985828531,107.64677114301132,5.526112857505875,0.9098436216749862,176.28632070745806,169.5493258626163,160.7832175291056,157.43360658815254,90.0720488806459,81.08538913233534
2026-03-06T12:47:13.340600,5,Treadmill Jog,101,0.598|0.578,103.00454467392464,119.68791454313687,4.9971151760359,5.34257689058162,118.61030931875163,172.22348162732456,117.02263939317537,143.38263587095165,102.07762891701293,72.13550809889914
2026-03-06T12:47:13.460854,6,Treadmill Jog,101,0.598|0.578,104.86001011477134,121.09110663430204,6.463959154013804,5.260156817219362,122.49706592006478,164.60738065450147,90.45655145160089,132.82447994238927,85.34717652586218,108.23671100420859
2026-03-06T12:47:13.541735,7,Treadmill Jog,101,0.598|0.578,104.86001011477134,121.09110663430204,6.463959154013804,5.260156817219362,122.49706592006478,164.60738065450147,90.45655145160089,132.82447994238927,85.34717652586218,108.23671100420859
2026-03-06T12:47:13.647244,8,Treadmill Jog,101,0.598|0.578,108.51314174452223,120.08135564286461,4.665842094028182,7.8859404400542665,147.8840980782519,165.88807961402782,129.77050424881418,163.6879019708135,96.2452554627209,107.79925755338387
2026-03-06T12:47:13.746567,9,Treadmill Jog,101,0.598|0.578,106.65634147892392,119.1572428331818,5.240674550429658,7.832713377804982,141.19909589981134,171.21073272435333,142.0645174941329,161.4422852174754,101.61745109004175,96.95819597184105
2026-03-06T12:47:13.845454,10,Treadmill Jog,101,0.598|0.578,114.86251200484791,119.61091969592682,0.3420172921610607,6.952925317143382,140.9798030488261,178.2260063550995,151.49627311084717,165.19438992937785,106.8913399818725,88.97833193344594
