Timestamp,Frame Number,Exercise Name,Heart Rate,RR Intervals,leftElbow,rightElbow,leftShoulder,rightShoulder,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
2026-03-06T12:34:28.930069,1,Calf Raises,101,0.598|0.578,141.74973632856927,163.88150012978332,5.431233508905272,15.7265437405986,153.16474048702443,106.48134204125155,168.42752266705222,59.294077482846895,144.61769245064573,94.49946716621889
2026-03-06T12:34:29.043293,2,Calf Raises,101,0.598|0.578,14.756914998741445,150.2765673748896,35.395673937683,26.633226391162616,172.759777500179,179.73349784193383,174.36048678191435,159.09729582963092,106.96268667828372,118.88108426916118
2026-03-06T12:34:29.123734,3,Calf Raises,101,0.598|0.578,21.67875677231636,150.27917461777935,33.580832651511656,27.194291842653005,174.54415467136883,179.9919470359284,175.79789209910828,165.28268480216735,107.08737779596233,114.38542090063044
2026-03-06T12:34:29.225565,4,Calf Raises,101,0.598|0.578,31.53545393617799,150.88287129668979,31.487937215980775,26.26112237603256,172.70206086304248,179.59306272607276,174.57308009685187,151.90103984879607,114.70163210879876,101.39578841912743
2026-03-06T12:34:29.320648,5,Calf Raises,101,0.598|0.578,29.755306581647176,148.5562082869168,33.852015708849656,27.59565160005127,173.11234738580893,179.29687867369347,167.42552878618145,171.2733452913599,107.14389948164482,133.0674011583258
2026-03-06T12:34:29.431381,6,Calf Raises,101,0.598|0.578,16.843398626635434,149.45386921914192,32.83231556289111,28.02780338790157,171.78762119370074,176.72835009789844,178.97352947490666,153.22485493202117,114.67195039356776,99.02404814422796
2026-03-06T12:34:29.525814,7,Calf Raises,101,0.598|0.578,26.512097791742434,154.43207003303294,29.967921026416903,28.121121452837585,173.08745728565387,176.07541927675578,175.24493378703278,159.33756630649486,123.88583239911257,112.73179004554207
2026-03-06T12:34:29.630082,8,Calf Raises,101,0.598|0.578,23.919159619296906,156.58376547140583,30.309625834721935,28.873493825968417,172.04872467601828,176.4813767164354,171.29963298683313,154.23746224092812,122.22930414750316,102.43455325489023
2026-03-06T12:34:29.733509,9,Calf Raises,101,0.598|0.578,34.92959269355546,156.1506176561398,30.42347351060475,29.579468165128898,172.26201848444606,178.71129989164126,177.26643820146344,150.88321230951144,95.88092459728823,93.0606487361963
2026-03-06T12:34:29.830967,10,Calf Raises,101,0.598|0.578,32.3685912507467,156.58983390718788,31.522581746618,29.028356636439185,174.00148175258587,179.61026688650665,178.3800762104454,155.55005995056874,97.43590529933671,99.0265518858661
2026-03-06T12:34:29.927404,11,Calf Raises,101,0.598|0.578,39.02954241098138,149.50268272950024,39.56785328909436,29.076012353813862,173.6978494576024,178.88978894861694,179.07870369570657,154.37351854885853,102.52609480177354,100.70566650162378
2026-03-06T12:34:30.026314,12,Calf Raises,101,0.598|0.578,83.98178801660885,139.8397651315258,36.580039177404394,27.102067093055318,173.14924493294538,178.57690052747952,177.61126580644597,158.39944291490082,102.71204228368731,104.43339072951962
2026-03-06T12:34:30.139071,13,Calf Raises,101,0.598|0.578,70.28324693507317,124.07728333185524,34.27172918626653,24.67840621247429,171.68599507498644,169.30654084117867,169.89875318142163,158.7333663932958,97.00477218320398,112.92603862708646
2026-03-06T12:34:30.233173,14,Calf Raises,101,0.598|0.578,70.28324693507317,124.07728333185524,34.27172918626653,24.67840621247429,171.68599507498644,169.30654084117867,169.89875318142163,158.7333663932958,97.00477218320398,112.92603862708646
2026-03-06T12:34:30.344425,15,Calf Raises,101,0.598|0.578,117.67303211237952,85.07059063636301,35.81015271799035,17.41346429995159,171.0549737958176,165.75726484696608,175.81771329499236,151.38923634331732,108.44452074681344,103.03750620680047
2026-03-06T12:34:30.431403,16,Calf Raises,101,0.598|0.578,109.39781668652766,76.58395399013406,33.880701943723594,12.91996491615922,174.34801791800757,166.22675772913263,171.31149805558897,155.87376160484396,99.88715243607089,109.58528819932224
2026-03-06T12:34:30.533517,17,Calf Raises,101,0.598|0.578,92.85096569049398,82.02065932831297,15.593076570560156,0.719177327459623,172.7049563021177,162.01257475424924,165.5247380952834,149.6569855452247,98.17160429505064,97.3800681668214
2026-03-06T12:34:30.628047,18,Calf Raises,101,0.598|0.578,77.62980984979546,86.58230255513703,2.7938174128209896,3.8578178334853455,174.97363894185148,167.3936976744825,166.7572527783067,150.3842382783153,94.40763214499809,91.63217370065892
2026-03-06T12:34:30.737587,19,Calf Raises,101,0.598|0.578,74.35657237443647,90.02454063123122,0.19008843311209678,6.861151943040646,176.6646535432786,167.22829642094928,170.10116177638534,153.5715204149073,94.4759801370318,94.27766620238367
2026-03-06T12:34:30.829602,20,Calf Raises,101,0.598|0.578,76.9394483107703,86.65679703756028,3.9205820151558903,2.657347512253176,179.81307498967786,170.77674521900457,176.68413991443472,160.49313237630844,97.16125369207732,97.06422716914403
2026-03-06T12:34:30.946182,21,Calf Raises,101,0.598|0.578,78.60333526615857,86.96056849775985,8.10805869793948,1.8723571550947107,179.50847937725214,173.6310818068688,178.44348559192738,164.0867299155298,95.58380586072228,97.18024661570195
