Timestamp,Frame Number,Exercise Name,Heart Rate,RR Intervals,leftElbow,rightElbow,leftShoulder,rightShoulder,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
2026-03-06T11:52:28.859553,1,Straight Leg Raise,83,0.642,173.56029419856662,151.44996991583972,15.751644443900306,27.09290156929706,154.65493018055506,162.5545680439664,174.57788028437088,169.71274788582068,159.89536818349504,170.82918372113812
2026-03-06T11:52:28.966812,2,Straight Leg Raise,83,0.642,59.17168896817478,72.69831598398972,24.099068870181096,16.949271376503823,169.5851811836871,174.59719030430702,175.5333173298193,174.1706887073955,107.02299248918348,96.88424774037712
2026-03-06T11:52:29.054110,3,Straight Leg Raise,86,0.642|0.605,60.05117222177551,84.32452302892773,24.12368769177252,16.609854093349913,169.9728440324804,173.65418868945173,176.67079491983594,175.49935960189327,112.84333143394836,105.74460097608706
2026-03-06T11:52:29.156794,4,Straight Leg Raise,86,0.642|0.605,62.54154504838404,87.09475017654331,22.495697421287012,17.22702375798258,169.33729606623015,172.42513627470947,178.34234041507582,177.40522706233432,120.72420648027774,110.7830902448443
2026-03-06T11:52:29.258799,5,Straight Leg Raise,86,0.642|0.605,62.618860290905296,85.50080272415588,21.778805910996173,17.183364432898884,169.37963490352254,171.93758725643775,178.54262889359276,177.81117296572654,124.56878926304837,111.46218688918806
2026-03-06T11:52:29.357823,6,Straight Leg Raise,86,0.642|0.605,62.822746263048316,84.25735215637597,21.462809777842395,17.08727810069602,169.26635344189174,171.66984012227877,178.8524538156859,178.84939298172085,129.9736768993432,112.64269135441029
2026-03-06T11:52:29.455742,7,Straight Leg Raise,86,0.642|0.605,63.72295764516792,77.9402095332044,21.17094738559585,17.175540772056323,169.25415297445386,170.778716008963,178.9340301046012,179.91105954137012,129.1236307294004,116.81078139733621
2026-03-06T11:52:29.563189,8,Straight Leg Raise,86,0.642|0.605,67.04833501186444,82.96594258992563,19.0395040137379,14.999286545239054,169.62886099454562,170.05661519876105,178.51021291656681,179.26496388469116,128.1581396515116,119.32926674720304
2026-03-06T11:52:29.672632,9,Straight Leg Raise,86,0.642|0.605,72.26096329464312,78.68684197905972,14.855810271769691,12.129651423980478,170.1642571688574,170.20984855052737,177.4991937727625,179.49880305411415,126.44546201706379,119.49774971117516
2026-03-06T11:52:29.770180,10,Straight Leg Raise,86,0.642|0.605,72.26096329464312,78.68684197905972,14.855810271769691,12.129651423980478,170.1642571688574,170.20984855052737,177.4991937727625,179.49880305411415,126.44546201706379,119.49774971117516
2026-03-06T11:52:29.875084,11,Straight Leg Raise,87,0.647,67.7120202939975,78.9955711156271,17.911091360285692,12.916529464101812,169.17662211187016,169.90014257926822,178.84352182666157,179.29011763343306,126.73549240495025,118.85067142857943
2026-03-06T11:52:29.958677,12,Straight Leg Raise,87,0.647,74.18281539812398,88.32102119758154,11.836783821864044,7.7298569816194505,169.25596576599995,169.85402244011163,179.71492239264217,178.2044872569051,128.5786146773885,119.20333395272573
2026-03-06T11:52:30.081249,13,Straight Leg Raise,87,0.647,69.9213762188701,91.62657707688028,16.386511973537072,5.49172561295397,169.89222740583472,169.82860877555814,178.73962628216645,178.2226184530979,129.98493888798046,117.2773607738804
2026-03-06T11:52:30.170872,14,Straight Leg Raise,87,0.647,67.95451160895942,87.75332484743792,18.811476602422633,8.823132763607076,168.37865468247838,169.30340923111893,179.2933825080701,177.50079912798995,128.7469263784653,120.63797444928002
2026-03-06T11:52:30.277261,15,Straight Leg Raise,87,0.647,60.54263291930564,86.3813462118435,16.80354815672431,8.821572351551248,170.69137854028634,171.92681825082187,179.65326848839447,177.79161184699188,123.65829387036595,117.58611829271513
2026-03-06T11:52:30.359882,16,Straight Leg Raise,87,0.647,63.97849075225935,68.52960006422863,16.142602314829187,10.81605165683535,167.37643778071,168.26038602658448,177.29501329594083,179.68178995051744,136.60797150560157,131.97467879871442
2026-03-06T11:52:30.465783,17,Straight Leg Raise,87,0.647,59.60535439780715,81.44863136002918,27.398234124807985,18.09558745479856,167.89521982573245,161.68827357363543,179.68485029427652,177.48606979050143,137.1582529794951,108.91265697538499
2026-03-06T11:52:30.561782,18,Straight Leg Raise,87,0.647,59.60535439780715,81.44863136002918,27.398234124807985,18.09558745479856,167.89521982573245,161.68827357363543,179.68485029427652,177.48606979050143,137.1582529794951,108.91265697538499
2026-03-06T11:52:30.665155,19,Straight Leg Raise,87,0.647,58.26421959141518,87.64863631781036,30.14758659757456,18.83484555384557,170.93951691989753,172.6833311980354,178.14660649007197,178.7980989546144,126.86403958720672,111.56705900028311
2026-03-06T11:52:30.759559,20,Straight Leg Raise,87,0.647,70.56818245547313,81.48502051053181,25.513813595585905,7.502383524418204,170.7564289047909,169.63960126738823,176.38363872042055,179.1541891876023,129.23069018453333,122.71172378442729
