Timestamp,Frame Number,Exercise Name,Heart Rate,RR Intervals,leftElbow,rightElbow,leftShoulder,rightShoulder,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
2026-03-06T11:41:24.284272,1,Quiet Standing Baseline,91,0.646,157.89876813781606,158.73872558213753,31.096460134777445,25.741793682700866,171.28436903318334,165.78841398469388,178.54874450437447,167.42756402802456,167.32134009792009,176.32388848182435
2026-03-06T11:41:24.386978,2,Quiet Standing Baseline,91,0.646,160.63876502211994,170.71041580979735,28.844319277675844,26.506653987359815,171.16926241312106,172.92125105362257,172.9650244302663,171.79486020180303,178.32175434702123,166.81610326464656
2026-03-06T11:41:24.484439,3,Quiet Standing Baseline,91,0.646,164.0475253957336,169.29392303555326,29.961493106026865,26.303792612610945,167.18720978658027,174.08040009080133,175.26039353013832,172.98745484697642,177.53188188127697,164.58121505568596
2026-03-06T11:41:24.587366,4,Quiet Standing Baseline,91,0.646,165.36714323162155,167.3932753245732,29.25247952362922,26.430267914608848,167.0962685346245,173.8161746281257,175.27310544640278,174.62614272244656,177.5517056609954,162.72986860302902
2026-03-06T11:41:24.686819,5,Quiet Standing Baseline,91,0.646,166.696205922498,166.02014219513285,28.720211635555014,26.88979724091602,167.19287604724695,173.7562277129496,174.6220636609801,175.53049006868807,179.94539119356006,162.4651791736407
2026-03-06T11:41:24.785876,6,Quiet Standing Baseline,91,0.646,167.95050442135488,164.61581460332962,28.199910983370216,26.783053850985546,166.83072204773683,173.86293994656432,173.63234708338686,175.6559211903086,179.21461995896843,162.44961894432396
2026-03-06T11:41:24.880480,7,Quiet Standing Baseline,92,0.625|0.617,169.08337460242933,164.79672013245212,28.181126757151546,26.70809562085804,166.444722051909,173.82570236373027,174.42784063587845,175.74768238624128,179.58446472303444,161.9824587018836
2026-03-06T11:41:24.981133,8,Quiet Standing Baseline,92,0.625|0.617,169.10247006232373,163.86070896133657,27.965162817333795,26.532426825411292,166.39260825057497,173.8346174399702,174.73106439335982,175.80764446900702,179.62204956199685,161.17421427096562
2026-03-06T11:41:25.101212,9,Quiet Standing Baseline,92,0.625|0.617,168.853477237891,163.7955631170487,27.90146955009555,26.38673282699461,166.72927420967002,173.66594877808018,174.51165426489663,175.91256846592714,179.2182814873215,162.53358400399568
2026-03-06T11:41:25.189917,10,Quiet Standing Baseline,92,0.625|0.617,168.7775677362221,164.06974906494642,27.64048553192877,26.227114440597866,166.90798308637363,173.56417971891833,173.70203093181775,175.83168062644606,178.3268173764144,162.66275421866652
2026-03-06T11:41:25.294260,11,Quiet Standing Baseline,92,0.625|0.617,168.66305908404055,164.1788953978615,27.6634859714699,26.168935773108284,167.15150446157034,173.0636502523437,173.50551716052635,176.1028591849389,178.48475373074953,162.73410996887662
2026-03-06T11:41:25.377753,12,Quiet Standing Baseline,92,0.625|0.617,168.15605566726944,163.781024899755,28.194217112431968,26.40388095345178,167.11178676774156,173.43208150860465,172.7651730439204,175.68045595321345,177.1150368547461,161.38605456973735
2026-03-06T11:41:25.494514,13,Quiet Standing Baseline,92,0.625|0.617,168.85711958622653,164.02827083458558,28.131140419775893,26.458503302266845,166.879880332731,173.30472009450412,173.1261210746041,175.89510398564576,177.4281046387937,160.9962767161916
2026-03-06T11:41:25.585986,14,Quiet Standing Baseline,92,0.625|0.617,168.85711958622653,164.02827083458558,28.131140419775893,26.458503302266845,166.879880332731,173.30472009450412,173.1261210746041,175.89510398564576,177.4281046387937,160.9962767161916
2026-03-06T11:41:25.681756,15,Quiet Standing Baseline,92,0.625|0.617,168.93089323623553,163.87929246392918,28.242582500911293,26.376058494837714,166.88293875126396,173.15350870547923,172.83542310189148,175.9860595834754,175.86445735901768,161.1014422422532
2026-03-06T11:41:25.791998,16,Quiet Standing Baseline,92,0.625|0.617,168.4247500564739,163.92863418272026,28.572561779268913,26.235249571703797,166.71843047096812,173.11156276524096,173.06684939092125,176.0810766007809,176.041062017971,160.63851777891378
2026-03-06T11:41:25.893955,17,Quiet Standing Baseline,92,0.625|0.617,168.5721693425269,163.5753629695451,28.605840978167524,26.479804129193273,166.94454281870827,173.10130617382228,173.08560612539893,175.99293463255015,176.84116234826084,161.1539888090328
2026-03-06T11:41:25.988904,18,Quiet Standing Baseline,92,0.625|0.617,168.79967155034439,162.7395495181079,28.800423226823312,26.583585283847537,166.9321166614835,172.911704850497,172.94051424778232,175.98353825910013,175.9971823034548,161.706625137331
2026-03-06T11:41:26.088668,19,Quiet Standing Baseline,94,0.597|0.597,168.23306182488326,162.90537121572967,28.83188490118561,26.53600143116168,167.0534718302906,172.8013845192257,172.60505051498697,176.03373696212398,174.95106288795208,162.22674123939103
2026-03-06T11:41:26.188636,20,Quiet Standing Baseline,94,0.597|0.597,168.306283484465,162.09509229851366,28.757648864539625,26.46744421290457,167.200957967137,172.73498408358026,172.06407790797792,176.12436182558557,173.90671960002354,160.82647901538974
2026-03-06T11:41:26.288277,21,Quiet Standing Baseline,94,0.597|0.597,167.95986126829197,161.89066066675423,28.85320754779888,26.538238955125333,167.38885123465565,172.66755141469855,171.82640176649892,176.25772431360036,173.61335007842007,160.31507165864255
2026-03-06T11:41:26.378001,22,Quiet Standing Baseline,94,0.597|0.597,167.54107313050108,161.66199746503233,28.843549677286372,26.66062572425942,167.4120384382776,172.5679621073113,171.75901736730302,176.29174180654488,173.59248120966558,160.60039462955845
2026-03-06T11:41:26.488086,23,Quiet Standing Baseline,94,0.597|0.597,167.48360847238803,162.34374193301366,28.740676897097078,26.30255035415889,167.46669342252278,172.55795433606235,171.72370842255145,176.34533273669868,173.95354130583016,158.792412332897
2026-03-06T11:41:26.580500,24,Quiet Standing Baseline,94,0.597|0.597,167.19133992528356,161.66761361284395,28.73511591523414,26.56658732921835,167.54663818454134,172.5439713953188,171.6901680384487,176.22589044640569,174.110410791244,159.674999032361
2026-03-06T11:41:26.689999,25,Quiet Standing Baseline,94,0.597|0.597,165.90764519329537,162.10865420502813,28.64148717121446,26.977069831524112,167.53985580803868,172.51098122404116,171.9362689971344,176.31235850997794,174.48015816568252,159.88845121769515
2026-03-06T11:41:26.802727,26,Quiet Standing Baseline,94,0.597|0.597,165.33297010958418,161.96019476907142,28.72003944527924,27.029162537002428,167.4711090188004,172.60489960761296,172.14857584661544,176.38627935838508,173.2731843468345,160.26055583495182
2026-03-06T11:41:26.892403,27,Quiet Standing Baseline,95,0.606,164.45959844081747,161.8251526263267,28.883588212573976,27.06394532184491,167.2919103733992,172.84455574557614,172.3780685555557,176.37115324482824,174.01362123955727,161.56114699507646
2026-03-06T11:41:26.980098,28,Quiet Standing Baseline,95,0.606,165.2121095209606,162.4447530919073,28.290962344697213,27.020768526343993,167.25641854120914,172.76732764182864,172.6914155057699,176.50335826464894,175.03717218715647,158.6858931124189
2026-03-06T11:41:27.083187,29,Quiet Standing Baseline,95,0.606,165.49317862756595,162.5143893675352,28.41364883238474,26.968797070897043,167.10376859695444,172.6896984088629,172.776003983959,176.494769554473,175.74354135959143,159.22185359114744
2026-03-06T11:41:27.196458,30,Quiet Standing Baseline,95,0.606,165.69931371637225,162.5923020931265,28.328978689586965,26.731874101798933,166.99160173950756,172.7800896113791,172.90092868920024,176.45019098455313,175.973157928444,159.65536924790518
2026-03-06T11:41:27.293232,31,Quiet Standing Baseline,95,0.606,166.04245894579162,163.18109486174475,28.157363176652822,26.869275497375074,166.8071766673774,172.81224184864428,173.1160389287925,176.74296108337435,175.82205380679721,158.96852164377327
2026-03-06T11:41:27.375780,32,Quiet Standing Baseline,95,0.606,166.34660424782456,163.27075148364918,27.97110737730495,26.77147591497692,166.74924565059266,172.88992428105257,173.28090718526704,176.6843531623706,176.07680216201967,158.95567893709304
2026-03-06T11:41:27.476516,33,Quiet Standing Baseline,95,0.606,165.90995410451683,162.7790634737279,28.237077388982758,26.943065404601832,166.63622757394856,173.14862791531115,173.3017906369683,176.57928047783454,176.0997151668611,159.075608680732
2026-03-06T11:41:27.561423,34,Quiet Standing Baseline,95,0.606,165.06409093385489,162.54888104615716,28.372286527267814,27.12976311835603,166.88730901909577,173.1723094696333,173.63813425986308,177.0664892668997,178.63738785010193,159.56360974238956
2026-03-06T11:41:27.645945,35,Quiet Standing Baseline,95,0.606,165.78899037247402,164.02257124813156,27.779452726672176,26.34785741550787,166.69832260162093,173.28551320189663,174.4292069051916,176.9170628789395,179.32170930132452,159.92905775058674
2026-03-06T11:41:27.749969,36,Quiet Standing Baseline,95,0.606,166.01737208783578,165.38551703106512,27.522376824870243,26.336378028263933,167.15719373896763,172.6643954892271,174.20066156692462,177.07159259991712,179.0022099970946,159.79853544071955
2026-03-06T11:41:27.855777,37,Quiet Standing Baseline,95,0.606,166.17532707997734,165.05032488732652,27.546402810984098,26.457342655884144,167.54730234752688,173.05646439963354,172.92043691195371,176.20634864728046,178.58495093064673,161.93483653842858
2026-03-06T11:41:27.957506,38,Quiet Standing Baseline,95,0.606,165.74815911235797,163.93439750586867,27.977728098286025,27.19175689180479,167.35409786201018,173.15599252237348,172.69791206940337,176.11836236794764,177.04266907470736,162.5914172353897
2026-03-06T11:41:28.054908,39,Quiet Standing Baseline,95,0.606,166.17408198412426,162.65136393569352,27.290785457214763,26.819794952410234,167.25955904456924,173.1680046427677,173.15949178786434,176.03858849526407,176.14699294353096,161.77871176888158
2026-03-06T11:41:28.163773,40,Quiet Standing Baseline,97,0.584|0.585,165.8775641828607,163.231911175287,27.130320113590006,27.15149796044258,167.26605260504053,173.12334082998723,173.48844859871338,176.4756963112048,176.28214707052564,160.27359713509094
2026-03-06T11:41:28.253630,41,Quiet Standing Baseline,97,0.584|0.585,165.36028760629654,163.46824969108698,27.37114909112643,27.09328043795889,167.5354279435836,173.0096044298501,172.77901346613848,176.46802094780224,175.2204876782693,160.2591618231322
2026-03-06T11:41:28.347290,42,Quiet Standing Baseline,97,0.584|0.585,165.63022625183046,163.17060964781362,27.04218283217679,26.943243172861113,167.77958769334606,172.88366446146463,172.66643590838146,176.44378001551271,175.5046245805501,160.33164653149663
